"id","issue_title","task_content","acceptance_criteria","project_progress","file_path","prd_link","tech_link","commit_message"
"T001","新增 C# 文件复制 API WV_File.Copy","在 Tiefsee/VW/WV_File.cs 中新增 Copy 方法，支持文件复制操作，参数包括源路径、目标路径、是否覆盖，返回错误信息（空字符串表示成功）","1. WV_File.Copy 方法已实现，参数为 sourcePath, destPath, overwrite
2. 返回空字符串表示成功，否则返回错误信息
3. 支持覆盖模式和非覆盖模式
4. 异常处理完善，能捕获文件操作异常","已完成","Tiefsee/VW/WV_File.cs","docs/specs/26011009-copy-to-directory/prd.md#文件复制实现含批量与时间戳重命名","docs/specs/26011009-copy-to-directory/TECHNICAL_APPROACH.md#51-wv_filecopy新增","feat: 新增 WV_File.Copy 文件复制 API"
"T002","新增 C# 目录选择对话框 API WV_Directory.OpenFolderDialog","在 Tiefsee/VW/WV_Directory.cs 中新增 OpenFolderDialog 方法，使用 WinForms FolderBrowserDialog 实现目录选择对话框，支持标题和初始路径参数，返回选择的目录路径","1. WV_Directory.OpenFolderDialog 方法已实现，参数为 title, initialPath
2. 使用 WinForms FolderBrowserDialog 实现
3. 支持设置对话框标题和初始路径
4. 返回用户选择的目录路径，取消时返回空字符串","已完成","Tiefsee/VW/WV_Directory.cs","docs/specs/26011009-copy-to-directory/prd.md#设置界面","docs/specs/26011009-copy-to-directory/TECHNICAL_APPROACH.md#52-wv_directoryopenfolderdialog新增","feat: 新增 WV_Directory.OpenFolderDialog 目录选择对话框 API"
"T003","同步 TS 声明文件 NetAPI.d.ts","在 Www/ts/d/NetAPI.d.ts 中新增 WV_File.Copy 和 WV_Directory.OpenFolderDialog 的 TypeScript 类型声明，确保类型安全","1. WV_File.Copy 的类型声明已添加，签名正确
2. WV_Directory.OpenFolderDialog 的类型声明已添加，签名正确
3. 参数和返回值类型与 C# 实现一致","已完成","Www/ts/d/NetAPI.d.ts","docs/specs/26011009-copy-to-directory/prd.md#技术实现方案","docs/specs/26011009-copy-to-directory/TECHNICAL_APPROACH.md#5-跨层接口改动cs--ts-声明","feat: 同步 NetAPI.d.ts 新增 Copy 和 OpenFolderDialog 类型声明"
"T004","扩展 Config.ts 配置结构","在 Www/ts/Config.ts 的 settings 中新增 copyToDirectory 配置对象，包含 enabled, targetPath, shortcut, onConflict, createDirIfNotExists, requireSaveWhenTransformed 字段，设置合理的默认值","1. copyToDirectory 配置对象已添加到 settings
2. 包含所有必需字段：enabled, targetPath, shortcut, onConflict, createDirIfNotExists, requireSaveWhenTransformed
3. 默认值设置合理：enabled=false, shortcut=""F1"", onConflict=""renameTimestamp"", createDirIfNotExists=true, requireSaveWhenTransformed=true","已完成","Www/ts/Config.ts","docs/specs/26011009-copy-to-directory/prd.md#技术实现方案","docs/specs/26011009-copy-to-directory/TECHNICAL_APPROACH.md#31-settingjson新增字段","feat: 扩展 Config.ts 新增 copyToDirectory 配置"
"T005","新增国际化文本 langData.js","在 Www/lang/langData.js 中添加复制到目录功能所需的多语言文本，包括成功/失败提示、错误信息、确认对话框等，支持 zh-TW, zh-CN, en 三种语言","1. msg.copyToDirSuccess 已添加，支持三种语言
2. msg.copyToDirBatchSuccess 已添加，支持三种语言
3. msg.copyToDirFailed 已添加，支持三种语言
4. msg.copyToDirNeedSaveConfirm 已添加，支持三种语言
5. msg.fileNotFound 已添加，支持三种语言
6. msg.targetPathNotSet 已添加，支持三种语言
7. msg.targetDirNotExists 已添加，支持三种语言
8. msg.fileSkipped 已添加，支持三种语言
9. msg.shortcutConflict 已添加，支持三种语言","已完成","Www/lang/langData.js","docs/specs/26011009-copy-to-directory/prd.md#国际化支持","docs/specs/26011009-copy-to-directory/TECHNICAL_APPROACH.md#4-关键流程端到端","feat: 新增复制到目录功能国际化文本"
"T006","创建 Shortcut 快捷键模块","创建 Www/ts/Shortcut.ts 模块，实现快捷键解析、规范化、匹配和冲突检测功能，提供 parse, normalize, match, isConflict 等纯函数，支持单键和组合键","1. Shortcut 模块已创建，包含 parse, normalize, match, isConflict 方法
2. 支持解析 ""ctrl + alt + d"" 等格式
3. 规范化输出为 ""Ctrl+Alt+D"" 格式
4. match 方法能正确匹配 KeyboardEvent
5. isConflict 方法能检测快捷键冲突
6. 所有方法为纯函数，易于测试","已完成","Www/ts/Shortcut.ts","docs/specs/26011009-copy-to-directory/prd.md#核心功能","docs/specs/26011009-copy-to-directory/TECHNICAL_APPROACH.md#1-代码心智地图现状入口与可复用能力","feat: 创建 Shortcut 快捷键模块"
"T007","在 SettingWindow 添加复制到目录配置 UI","在 Www/ts/SettingWindow/SettingWindow.ts 中添加""复制到目录""设置面板，包含功能开关、目标目录输入框和浏览按钮、快捷键输入框、同名文件处理下拉框、自动创建目录复选框、保存确认复选框","1. ""复制到目录""设置面板已添加到设置窗口
2. 包含功能开关复选框（copyToDirectory.enabled）
3. 包含目标目录输入框和浏览按钮（copyToDirectory.targetPath）
4. 包含快捷键输入框（copyToDirectory.shortcut）
5. 包含同名文件处理下拉框（copyToDirectory.onConflict）
6. 包含自动创建目录复选框（copyToDirectory.createDirIfNotExists）
7. 包含保存确认复选框（copyToDirectory.requireSaveWhenTransformed）
8. 浏览按钮调用 WV_Directory.OpenFolderDialog
9. 配置保存和加载正常工作","未开始","Www/ts/SettingWindow/SettingWindow.ts","docs/specs/26011009-copy-to-directory/prd.md#设置界面","docs/specs/26011009-copy-to-directory/TECHNICAL_APPROACH.md#31-settingjson新增字段","feat: 在 SettingWindow 添加复制到目录配置 UI"
"T008","实现快捷键冲突检测逻辑","在 SettingWindow 中实现快捷键冲突检测，当用户设置快捷键时检查是否与 Tiefsee 内置快捷键或其他可配置快捷键冲突，冲突时显示警告并阻止保存","1. 用户输入快捷键时实时检测冲突
2. 与 Tiefsee 内置快捷键冲突时显示警告
3. 与其他可配置快捷键冲突时显示警告
4. 冲突时阻止保存配置
5. 警告信息使用 msg.shortcutConflict 国际化文本","未开始","Www/ts/SettingWindow/SettingWindow.ts","docs/specs/26011009-copy-to-directory/prd.md#核心功能","docs/specs/26011009-copy-to-directory/TECHNICAL_APPROACH.md#32-快捷键字符串规范可测试可冲突检测","feat: 实现快捷键冲突检测逻辑"
"T009","在 Hotkey.ts 添加复制到目录快捷键处理","在 Www/ts/MainWindow/Hotkey.ts 的 keydown 事件处理中添加复制到目录快捷键分支（普通模式 + Bulk View 都需生效），检查功能启用状态、非输入焦点、快捷键匹配，调用 M.script.copy.copyToDirectory()","1. 在 keydown 事件中添加复制到目录快捷键处理
2. 检查 copyToDirectory.enabled === true
3. 检查非输入焦点（Lib.isTextFocused() === false）
4. 检查非文本选择（Lib.isTxtSelect() === false）
5. 使用 Shortcut.match 匹配快捷键
6. 调用 M.script.copy.copyToDirectory()
7. 快捷键仅在 Tiefsee 窗口聚焦时生效
8. Bulk View 模式下也能触发该快捷键（不被 Bulk View 分支提前 return 阻断）","已完成","Www/ts/MainWindow/Hotkey.ts","docs/specs/26011009-copy-to-directory/prd.md#核心功能","docs/specs/26011009-copy-to-directory/TECHNICAL_APPROACH.md#41-触发入口hotkeyts","feat: 在 Hotkey.ts 添加复制到目录快捷键处理"
"T010","在 ScriptCopy 添加 copyToDirectory 方法框架","在 Www/ts/MainWindow/Script.ts 的 ScriptCopy 类中添加 copyToDirectory 方法框架，实现配置检查、目标目录验证、源路径获取等基础逻辑","1. copyToDirectory 方法已添加到 ScriptCopy 类
2. 检查功能是否启用（config.enabled）
3. 验证目标目录是否设置
4. 获取待复制的路径列表（普通模式或 Bulk View）
5. 检查目标目录是否存在，根据配置决定是否创建
6. 方法签名正确，支持异步执行","已完成","Www/ts/MainWindow/Script.ts","docs/specs/26011009-copy-to-directory/prd.md#技术实现方案","docs/specs/26011009-copy-to-directory/TECHNICAL_APPROACH.md#42-源路径选择普通-vs-bulk-view","feat: 在 ScriptCopy 添加 copyToDirectory 方法框架"
"T011","实现时间戳重命名逻辑","在 ScriptCopy 类中实现 resolveConflictPath 方法，支持时间戳重命名策略，格式为 baseName_yyyyMMdd_HHmmss_fff.ext，若仍冲突则追加 _1/_2...","1. resolveConflictPath 方法已实现
2. 时间戳格式为 yyyyMMdd_HHmmss_fff
3. 若目标文件已存在，追加时间戳
4. 若时间戳后仍冲突，追加 _1/_2...
5. 支持 overwrite 和 skip 策略
6. 正确处理文件扩展名","已完成","Www/ts/MainWindow/Script.ts","docs/specs/26011009-copy-to-directory/prd.md#高级功能","docs/specs/26011009-copy-to-directory/TECHNICAL_APPROACH.md#45-同名冲突处理默认时间戳","feat: 实现时间戳重命名逻辑"
"T012","实现文件复制核心逻辑","在 ScriptCopy 类中实现文件复制核心逻辑，调用 WV_File.Copy 执行复制操作，处理复制结果，显示成功或失败 Toast","1. 调用 WV_File.Copy 执行复制操作
2. 根据 onConflict 配置传递 overwrite 参数
3. 捕获复制错误信息
4. 成功时显示 Toast（包含目标目录和最终文件名）
5. 失败时显示 Toast（包含失败原因）
6. 使用国际化文本显示提示信息","未开始","Www/ts/MainWindow/Script.ts","docs/specs/26011009-copy-to-directory/prd.md#核心功能","docs/specs/26011009-copy-to-directory/TECHNICAL_APPROACH.md#46-复制执行与反馈单个批量","feat: 实现文件复制核心逻辑"
"T013","实现批量复制逻辑","在 ScriptCopy 类中实现批量复制逻辑，支持多文件复制，汇总成功和失败数量，显示批量操作结果","1. 支持批量复制多个文件
2. 逐个复制文件，处理每个文件的复制结果
3. 汇总成功和失败数量
4. 批量成功时显示 Toast（包含成功数量/总数和目标目录）
5. 批量失败时显示 Toast（包含失败原因）
6. 异步执行，不阻塞 UI 线程","未开始","Www/ts/MainWindow/Script.ts","docs/specs/26011009-copy-to-directory/prd.md#核心功能","docs/specs/26011009-copy-to-directory/TECHNICAL_APPROACH.md#46-复制执行与反馈单个批量","feat: 实现批量复制逻辑"
"T014","在 BulkView 添加多选状态管理","在 Www/ts/MainWindow/BulkView.ts 中添加多选状态管理，包括 selectedPaths Set 和 lastAnchorPath，实现多选状态的基础结构","1. selectedPaths Set 已添加，用于存储选中的文件路径
2. lastAnchorPath 已添加，用于 Shift 区间选择
3. 提供获取选中状态的方法
4. 提供清空选择的方法
5. 状态管理逻辑清晰，易于扩展","已完成","Www/ts/MainWindow/BulkView.ts","docs/specs/26011009-copy-to-directory/prd.md#核心功能","docs/specs/26011009-copy-to-directory/TECHNICAL_APPROACH.md#6-bulk-view-多选实现路径","feat: 在 BulkView 添加多选状态管理"
